taxonID,scientificName,taxonRank,threatStatus,kingdom,phylum,class,order,family,establishmentMeans,scientific_std,matched_any,matched_grid10,matched_grid50,n_grids
urn:lsid:dyntaxa.se:TaxonName:372902,Sphaeria gastrina,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Lopadostomataceae,"",sphaeria gastrina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:271851,Sphaeria hippotrichoides,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,"Xylariales, genera incertae sedis","",sphaeria hippotrichoides,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:39508,Sphaeria hypodermia,species,"",Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,"",sphaeria hypodermia,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89650,Sphaeria lutea,species,"",Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniaceae,"",sphaeria lutea,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89602,Sphaeria marginata,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Graphostromataceae,"",sphaeria marginata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89611,Sphaeria nummularia,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Graphostromataceae,"",sphaeria nummularia,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89673,Sphaeria pugillus,species,"",Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniaceae,"",sphaeria pugillus,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:150250,Sphaeria punctata,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,"",sphaeria punctata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:389343,Sphaeria pyrolae,species,"",Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,"",sphaeria pyrolae,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89905,Sphaeria stellulata,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,"",sphaeria stellulata,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89888,Sphaeria tubulina,species,"",Fungi,Ascomycota,Sordariomycetes,Boliniales,Boliniaceae,"",sphaeria tubulina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:84397,Sphaeria umbrina,species,"",Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Amphisphaeriaceae,"",sphaeria umbrina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:331067,Sphaeria umbrina,species,"",Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Amphisphaeriaceae,"",sphaeria umbrina,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:261984,Sphaeria vernicosa,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,"",sphaeria vernicosa,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:89940,Sphaeria vogesiaca,species,"",Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,"",sphaeria vogesiaca,FALSE,FALSE,FALSE,0
urn:lsid:dyntaxa.se:TaxonName:25381,Sphaeriestes ater,species,"",Animalia,Arthropoda,Insecta,Coleoptera,Salpingidae,"",sphaeriestes ater,FALSE,FALSE,FALSE,0
