taxonID,scientificName,taxonRank,threatStatus,scientific_std,matched_any,matched_grid10,matched_grid50
urn:lsid:dyntaxa.se:Taxon:248940,Cortinarius moënne-loccozii,species,EN,cortinarius moënne-loccozii,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:6003296,Cortinarius mussivus,species,VU,cortinarius mussivus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3668,Cortinarius norrlandicus,species,VU,cortinarius norrlandicus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249261,Cortinarius obsoletus,species,VU,cortinarius obsoletus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1987,Cortinarius odoratus,species,EN,cortinarius odoratus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249236,Cortinarius osmophorus,species,VU,cortinarius osmophorus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:6037433,Cortinarius parasuaveolens,species,EN,cortinarius parasuaveolens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3689,Cortinarius pini,species,VU,cortinarius pini,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248958,Cortinarius platypus,species,VU,cortinarius platypus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1990,Cortinarius prasinocyaneus,species,EN,cortinarius prasinocyaneus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:461,Cortinarius prasinus,species,EN,cortinarius prasinus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3599,Cortinarius pseudoarcuatorum,species,VU,cortinarius pseudoarcuatorum,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1991,Cortinarius pseudovulpinus,species,EN,cortinarius pseudovulpinus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1992,Cortinarius quercilicis,species,VU,cortinarius quercilicis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249237,Cortinarius rapaceotomentosus,species,VU,cortinarius rapaceotomentosus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249243,Cortinarius rhizophorus,species,VU,cortinarius rhizophorus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:467,Cortinarius russus,species,VU,cortinarius russus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1993,Cortinarius saporatus,species,EN,cortinarius saporatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248950,Cortinarius selandicus,species,VU,cortinarius selandicus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3721,Cortinarius serarius,species,VU,cortinarius serarius,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3727,Cortinarius spectabilis,species,VU,cortinarius spectabilis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3729,Cortinarius splendens,species,VU,cortinarius splendens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1995,Cortinarius suaveolens,species,EN,cortinarius suaveolens,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248939,Cortinarius terpsichores,species,VU,cortinarius terpsichores,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1996,Cortinarius variiformis,species,VU,cortinarius variiformis,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248959,Cortinarius vesterholtii,species,EN,cortinarius vesterholtii,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:248943,Cortinarius violaceipes,species,CR,cortinarius violaceipes,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3767,Cortinarius violaceomaculatus,species,VU,cortinarius violaceomaculatus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:249245,Cortinarius xantho-ochraceus,species,VU,cortinarius xantho-ochraceus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:1997,Cortinarius xanthochlorus,species,EN,cortinarius xanthochlorus,FALSE,FALSE,FALSE
urn:lsid:dyntaxa.se:Taxon:3770,Cortinarius xanthophyllus,species,VU,cortinarius xanthophyllus,FALSE,FALSE,FALSE
