taxonID,scientificName,taxonRank,threatStatus,family,order,priority,n_cells_10km,n_cells_50km,total_occ_10km
urn:lsid:dyntaxa.se:Taxon:102684,Coelioxys conoideus,species,CR,Megachilidae,Hymenoptera,Threatened - Poorly Sampled,1,1,313
urn:lsid:dyntaxa.se:Taxon:100690,Coleophora paradrymidis,species,CR,Coleophoridae,Lepidoptera,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:100692,Coleophora pulmonariella,species,CR,Coleophoridae,Lepidoptera,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:95,Coniocarpon cinnabarinum,species,CR,Arthoniaceae,Arthoniales,Threatened - Poorly Sampled,1,1,322
urn:lsid:dyntaxa.se:Taxon:100706,Conisania leineri,species,CR,Noctuidae,Lepidoptera,Threatened - Poorly Sampled,1,1,18
urn:lsid:dyntaxa.se:Taxon:249227,Cortinarius cordatae,species,CR,Cortinariaceae,Agaricales,Threatened - Poorly Sampled,1,1,73
urn:lsid:dyntaxa.se:Taxon:248943,Cortinarius violaceipes,species,CR,Cortinariaceae,Agaricales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:206181,Coryphaenoides rupestris,species,CR,Macrouridae,Gadiformes,Threatened - Poorly Sampled,1,1,6
urn:lsid:dyntaxa.se:Taxon:100764,Cucullia argentea,species,CR,Noctuidae,Lepidoptera,Threatened - Poorly Sampled,1,1,115
urn:lsid:dyntaxa.se:Taxon:497,Cyperus fuscus,species,CR,Cyperaceae,Poales,Threatened - Poorly Sampled,1,1,309
urn:lsid:dyntaxa.se:Taxon:100787,Cyphocleonus trisulcatus,species,CR,Curculionidae,Coleoptera,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:100327,Dactylotula kinkerella,species,CR,Gelechiidae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:100795,Dalmannia punctata,species,CR,Conopidae,Diptera,Threatened - Poorly Sampled,1,1,18
urn:lsid:dyntaxa.se:Taxon:100046,Dendrocopos leucotos,species,CR,Picidae,Piciformes,Threatened - Poorly Sampled,1,1,1213
urn:lsid:dyntaxa.se:Taxon:100046,Dendrocopos leucotos,species,CR,Picidae,Piciformes,Threatened - Poorly Sampled,1,1,30
urn:lsid:dyntaxa.se:Taxon:100810,Depressaria nemolella,species,CR,Depressariidae,Lepidoptera,Threatened - Poorly Sampled,1,1,35
urn:lsid:dyntaxa.se:Taxon:102420,Diasemia reticularis,species,CR,Crambidae,Lepidoptera,Threatened - Poorly Sampled,1,1,106
urn:lsid:dyntaxa.se:Taxon:543,Didymodon glaucus,species,CR,Pottiaceae,Pottiales,Threatened - Poorly Sampled,1,1,10
urn:lsid:dyntaxa.se:Taxon:102422,Digitivalva valeriella,species,CR,Glyphipterigidae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:100866,Dromaeolus barnabita,species,CR,Eucnemidae,Coleoptera,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:102677,Dufourea minuta,species,CR,Halictidae,Hymenoptera,Threatened - Poorly Sampled,1,1,26
urn:lsid:dyntaxa.se:Taxon:100870,Dysauxes ancilla,species,CR,Erebidae,Lepidoptera,Threatened - Poorly Sampled,1,1,150
urn:lsid:dyntaxa.se:Taxon:217881,Edwardsiella loveni,species,CR,Edwardsiidae,Actiniaria,Threatened - Poorly Sampled,1,1,29
urn:lsid:dyntaxa.se:Taxon:100891,Eledonoprius armatus,species,CR,Tenebrionidae,Coleoptera,Threatened - Poorly Sampled,1,1,25
urn:lsid:dyntaxa.se:Taxon:102126,Emberiza hortulana,species,CR,Emberizidae,Passeriformes,Threatened - Poorly Sampled,1,1,41933
urn:lsid:dyntaxa.se:Taxon:582,Encalypta spathulata,species,CR,Encalyptaceae,Encalyptales,Threatened - Poorly Sampled,1,1,51
urn:lsid:dyntaxa.se:Taxon:1802,Eopyrenula septemseptata,species,CR,Dacampiaceae,Pleosporales,Threatened - Poorly Sampled,1,1,29
urn:lsid:dyntaxa.se:Taxon:100793,Epicallima formosella,species,CR,Oecophoridae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:621,Equisetum telmateia,species,CR,Equisetaceae,Equisetales,Threatened - Poorly Sampled,1,1,287
urn:lsid:dyntaxa.se:Taxon:102437,Eteobalea tririvella,species,CR,Cosmopterigidae,Lepidoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:100933,Eucosma krygeri,species,CR,Tortricidae,Lepidoptera,Threatened - Poorly Sampled,1,1,13
urn:lsid:dyntaxa.se:Taxon:100958,Eurhodope rosella,species,CR,Pyralidae,Lepidoptera,Threatened - Poorly Sampled,1,1,8
urn:lsid:dyntaxa.se:Taxon:100969,Evagetes gibbulus,species,CR,Pompilidae,Hymenoptera,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:1578,Funalia trogii,species,CR,Polyporaceae,Polyporales,Threatened - Not in GBIF,,,
urn:lsid:dyntaxa.se:Taxon:677,Gastrosporium simplex,species,CR,Gastrosporiaceae,Phallales,Threatened - Poorly Sampled,1,1,4
urn:lsid:dyntaxa.se:Taxon:1345,Geastrum flexuosum,species,CR,Geastraceae,Geastrales,Threatened - Poorly Sampled,1,1,1
urn:lsid:dyntaxa.se:Taxon:691,Genista germanica,species,CR,Fabaceae,Fabales,Threatened - Poorly Sampled,1,1,228
urn:lsid:dyntaxa.se:Taxon:694,Gentiana purpurea,species,CR,Gentianaceae,Gentianales,Threatened - Poorly Sampled,1,1,85
