grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE394N474,1886-07-01,1674,1,Not sampled in 139.5 years
grid10km,10kmE435N460,1887-06-01,1663,1,Not sampled in 138.6 years
grid10km,10kmE404N384,1887-08-01,1661,1,Not sampled in 138.4 years
grid10km,10kmE425N368,1887-12-01,1657,1,Not sampled in 138.1 years
grid10km,10kmE506N393,1887-12-01,1657,1,Not sampled in 138.1 years
grid10km,10kmE442N501,1888-05-01,1652,1,Not sampled in 137.7 years
grid10km,10kmE413N429,1888-05-01,1652,1,Not sampled in 137.7 years
grid10km,10kmE532N419,1888-09-01,1648,1,Not sampled in 137.3 years
grid10km,10kmE503N479,1890-03-01,1630,2,Not sampled in 135.8 years
grid10km,10kmE435N371,1890-04-01,1629,1,Not sampled in 135.8 years
grid10km,10kmE440N439,1890-07-01,1626,1,Not sampled in 135.5 years
grid10km,10kmE403N433,1890-07-01,1626,1,Not sampled in 135.5 years
grid10km,10kmE450N513,1890-07-01,1626,1,Not sampled in 135.5 years
grid10km,10kmE413N420,1890-09-01,1624,1,Not sampled in 135.3 years
grid10km,10kmE421N426,1890-09-01,1624,1,Not sampled in 135.3 years
grid10km,10kmE500N385,1890-09-01,1624,1,Not sampled in 135.3 years
grid10km,10kmE467N515,1890-10-01,1623,1,Not sampled in 135.2 years
grid10km,10kmE500N415,1890-10-01,1623,1,Not sampled in 135.2 years
grid10km,10kmE417N458,1890-10-01,1623,1,Not sampled in 135.2 years
grid10km,10kmE388N424,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE415N489,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE433N435,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE530N464,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE413N451,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE476N362,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE512N449,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE517N463,1890-11-01,1622,1,Not sampled in 135.2 years
grid10km,10kmE507N392,1890-12-01,1621,1,Not sampled in 135.1 years
grid10km,10kmE439N443,1890-12-01,1621,1,Not sampled in 135.1 years
grid10km,10kmE440N431,1890-12-01,1621,1,Not sampled in 135.1 years
grid10km,10kmE502N442,1890-12-01,1621,1,Not sampled in 135.1 years
grid10km,10kmE513N402,1891-01-01,1620,1,Not sampled in 135 years
grid10km,10kmE493N402,1891-01-01,1620,1,Not sampled in 135 years
grid10km,10kmE539N486,1891-01-01,1620,1,Not sampled in 135 years
grid10km,10kmE490N451,1891-01-01,1620,1,Not sampled in 135 years
grid10km,10kmE439N505,1891-01-01,1620,1,Not sampled in 135 years
grid10km,10kmE511N471,1891-02-01,1619,1,Not sampled in 134.9 years
grid10km,10kmE401N428,1891-02-01,1619,1,Not sampled in 134.9 years
grid10km,10kmE404N463,1891-02-01,1619,1,Not sampled in 134.9 years
grid10km,10kmE532N479,1891-02-01,1619,1,Not sampled in 134.9 years
grid10km,10kmE419N458,1891-02-01,1619,1,Not sampled in 134.9 years
grid10km,10kmE388N417,1891-03-01,1618,1,Not sampled in 134.8 years
grid10km,10kmE432N491,1891-03-01,1618,1,Not sampled in 134.8 years
grid10km,10kmE502N495,1891-03-01,1618,1,Not sampled in 134.8 years
grid10km,10kmE389N458,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE439N499,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE398N430,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE496N362,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE444N493,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE488N435,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE520N442,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE390N428,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE407N389,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE424N371,1891-04-01,1617,1,Not sampled in 134.8 years
grid10km,10kmE428N497,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE399N460,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE452N510,1891-05-01,1616,2,Not sampled in 134.7 years
grid10km,10kmE509N373,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE502N397,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE489N437,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE456N511,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE480N374,1891-05-01,1616,2,Not sampled in 134.7 years
grid10km,10kmE427N462,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE425N350,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE416N402,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE460N347,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE525N474,1891-05-01,1616,1,Not sampled in 134.7 years
grid10km,10kmE501N496,1891-06-01,1615,1,Not sampled in 134.6 years
grid10km,10kmE418N435,1891-06-01,1615,1,Not sampled in 134.6 years
grid10km,10kmE517N383,1891-06-01,1615,1,Not sampled in 134.6 years
grid10km,10kmE449N486,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE486N369,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE431N411,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE449N485,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE425N380,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE498N431,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE426N440,1891-07-01,1614,1,Not sampled in 134.5 years
grid10km,10kmE430N424,1891-08-01,1613,1,Not sampled in 134.4 years
grid10km,10kmE485N440,1891-08-01,1613,1,Not sampled in 134.4 years
grid10km,10kmE425N373,1891-08-01,1613,1,Not sampled in 134.4 years
grid10km,10kmE508N398,1891-08-01,1613,1,Not sampled in 134.4 years
grid10km,10kmE417N455,1891-09-01,1612,1,Not sampled in 134.3 years
grid10km,10kmE396N398,1891-09-01,1612,1,Not sampled in 134.3 years
grid10km,10kmE507N497,1891-09-01,1612,1,Not sampled in 134.3 years
grid10km,10kmE433N373,1891-09-01,1612,1,Not sampled in 134.3 years
grid10km,10kmE435N434,1891-10-01,1611,1,Not sampled in 134.2 years
grid10km,10kmE394N455,1891-11-01,1610,1,Not sampled in 134.2 years
grid10km,10kmE525N397,1891-11-01,1610,1,Not sampled in 134.2 years
grid10km,10kmE496N460,1891-11-01,1610,1,Not sampled in 134.2 years
grid10km,10kmE534N429,1891-11-01,1610,1,Not sampled in 134.2 years
grid10km,10kmE512N407,1891-12-01,1609,1,Not sampled in 134.1 years
grid10km,10kmE533N420,1891-12-01,1609,1,Not sampled in 134.1 years
grid10km,10kmE400N443,1892-04-01,1605,2,Not sampled in 133.8 years
grid10km,10kmE414N374,1892-04-01,1605,1,Not sampled in 133.8 years
grid10km,10kmE412N444,1892-04-01,1605,1,Not sampled in 133.8 years
grid10km,10kmE451N343,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE416N382,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE432N407,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE490N360,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE491N510,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE388N384,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE411N452,1892-05-01,1604,1,Not sampled in 133.7 years
grid10km,10kmE436N377,1892-06-01,1603,1,Not sampled in 133.6 years
grid10km,10kmE427N430,1892-06-01,1603,1,Not sampled in 133.6 years
grid10km,10kmE511N489,1892-06-01,1603,1,Not sampled in 133.6 years
grid10km,10kmE438N375,1892-07-01,1602,1,Not sampled in 133.5 years
grid10km,10kmE531N460,1893-01-01,1596,1,Not sampled in 133 years
grid10km,10kmE529N430,1893-03-01,1594,1,Not sampled in 132.8 years
grid10km,10kmE486N414,1893-03-01,1594,1,Not sampled in 132.8 years
grid10km,10kmE428N405,1893-03-01,1594,1,Not sampled in 132.8 years
grid10km,10kmE514N427,1893-04-01,1593,1,Not sampled in 132.8 years
grid10km,10kmE388N446,1893-04-01,1593,1,Not sampled in 132.8 years
grid10km,10kmE510N497,1893-04-01,1593,1,Not sampled in 132.8 years
grid10km,10kmE406N441,1893-05-01,1592,1,Not sampled in 132.7 years
grid10km,10kmE479N361,1893-05-01,1592,1,Not sampled in 132.7 years
grid10km,10kmE424N484,1893-08-01,1589,1,Not sampled in 132.4 years
grid10km,10kmE397N441,1893-09-01,1588,1,Not sampled in 132.3 years
grid10km,10kmE397N438,1894-01-01,1584,1,Not sampled in 132 years
grid10km,10kmE629N558,1894-02-01,1583,1,Not sampled in 131.9 years
grid10km,10kmE404N395,1894-04-01,1581,1,Not sampled in 131.8 years
grid10km,10kmE460N505,1894-06-01,1579,1,Not sampled in 131.6 years
grid10km,10kmE400N409,1894-06-01,1579,1,Not sampled in 131.6 years
grid10km,10kmE497N372,1894-06-01,1579,1,Not sampled in 131.6 years
grid10km,10kmE494N457,1894-07-01,1578,1,Not sampled in 131.5 years
grid10km,10kmE387N437,1894-07-01,1578,1,Not sampled in 131.5 years
grid10km,10kmE500N429,1894-11-01,1574,1,Not sampled in 131.2 years
grid10km,10kmE501N401,1895-05-01,1568,2,Not sampled in 130.7 years
grid10km,10kmE433N466,1895-05-01,1568,1,Not sampled in 130.7 years
grid10km,10kmE437N407,1895-05-01,1568,1,Not sampled in 130.7 years
grid10km,10kmE476N543,1895-05-01,1568,1,Not sampled in 130.7 years
grid10km,10kmE508N423,1895-06-01,1567,1,Not sampled in 130.6 years
grid10km,10kmE499N513,1895-06-01,1567,1,Not sampled in 130.6 years
grid10km,10kmE420N371,1895-06-01,1567,1,Not sampled in 130.6 years
grid10km,10kmE541N413,1895-06-01,1567,1,Not sampled in 130.6 years
grid10km,10kmE417N462,1895-07-01,1566,1,Not sampled in 130.5 years
grid10km,10kmE443N497,1895-07-01,1566,1,Not sampled in 130.5 years
grid10km,10kmE518N473,1895-07-01,1566,1,Not sampled in 130.5 years
grid10km,10kmE463N520,1895-07-01,1566,1,Not sampled in 130.5 years
grid10km,10kmE477N372,1895-08-01,1565,1,Not sampled in 130.4 years
grid10km,10kmE481N426,1895-08-01,1565,1,Not sampled in 130.4 years
grid10km,10kmE507N477,1895-10-01,1563,1,Not sampled in 130.2 years
grid10km,10kmE520N480,1895-10-01,1563,1,Not sampled in 130.2 years
grid10km,10kmE485N452,1896-05-01,1556,1,Not sampled in 129.7 years
grid10km,10kmE467N315,1896-06-01,1555,1,Not sampled in 129.6 years
grid10km,10kmE497N451,1896-07-01,1554,1,Not sampled in 129.5 years
grid10km,10kmE505N428,1896-07-01,1554,1,Not sampled in 129.5 years
grid10km,10kmE461N528,1896-07-01,1554,1,Not sampled in 129.5 years
grid10km,10kmE486N425,1896-08-01,1553,1,Not sampled in 129.4 years
grid10km,10kmE489N385,1896-08-01,1553,1,Not sampled in 129.4 years
grid10km,10kmE475N427,1896-08-01,1553,1,Not sampled in 129.4 years
grid10km,10kmE409N405,1896-09-01,1552,1,Not sampled in 129.3 years
grid10km,10kmE423N375,1896-09-01,1552,1,Not sampled in 129.3 years
grid10km,10kmE517N539,1897-06-01,1543,1,Not sampled in 128.6 years
grid10km,10kmE442N419,1897-07-01,1542,1,Not sampled in 128.5 years
grid10km,10kmE518N538,1897-07-01,1542,1,Not sampled in 128.5 years
grid10km,10kmE483N436,1897-07-01,1542,1,Not sampled in 128.5 years
grid10km,10kmE433N415,1897-07-01,1542,1,Not sampled in 128.5 years
grid10km,10kmE488N382,1897-08-01,1541,1,Not sampled in 128.4 years
grid10km,10kmE487N379,1897-08-01,1541,1,Not sampled in 128.4 years
grid10km,10kmE427N419,1897-08-01,1541,1,Not sampled in 128.4 years
grid10km,10kmE502N445,1897-09-01,1540,1,Not sampled in 128.3 years
grid10km,10kmE401N438,1898-04-01,1533,1,Not sampled in 127.8 years
grid10km,10kmE535N441,1898-05-01,1532,1,Not sampled in 127.7 years
grid10km,10kmE550N439,1898-05-01,1532,1,Not sampled in 127.7 years
grid10km,10kmE485N379,1898-06-01,1531,1,Not sampled in 127.6 years
grid10km,10kmE486N380,1898-06-01,1531,1,Not sampled in 127.6 years
grid10km,10kmE440N447,1898-07-01,1530,1,Not sampled in 127.5 years
grid10km,10kmE477N387,1898-07-01,1530,2,Not sampled in 127.5 years
grid10km,10kmE480N391,1898-08-01,1529,2,Not sampled in 127.4 years
grid10km,10kmE476N385,1898-08-01,1529,2,Not sampled in 127.4 years
grid10km,10kmE490N383,1898-08-01,1529,1,Not sampled in 127.4 years
grid10km,10kmE474N556,1899-05-01,1520,1,Not sampled in 126.7 years
grid10km,10kmE490N511,1899-06-01,1519,1,Not sampled in 126.6 years
grid10km,10kmE443N413,1899-06-01,1519,1,Not sampled in 126.6 years
grid10km,10kmE498N480,1899-08-01,1517,2,Not sampled in 126.4 years
grid10km,10kmE437N454,1899-08-01,1517,1,Not sampled in 126.4 years
grid10km,10kmE391N424,1900-07-01,1506,1,Not sampled in 125.5 years
grid10km,10kmE498N494,1900-08-01,1505,1,Not sampled in 125.4 years
grid10km,10kmE500N489,1901-07-01,1494,1,Not sampled in 124.5 years
grid10km,10kmE496N497,1901-08-01,1493,1,Not sampled in 124.4 years
grid10km,10kmE496N487,1901-08-01,1493,2,Not sampled in 124.4 years
grid10km,10kmE452N489,1901-08-01,1493,1,Not sampled in 124.4 years
grid10km,10kmE493N359,1901-08-01,1493,1,Not sampled in 124.4 years
grid10km,10kmE414N395,1901-08-01,1493,1,Not sampled in 124.4 years
grid10km,10kmE375N460,1901-08-01,1493,1,Not sampled in 124.4 years
grid10km,10kmE506N496,1901-09-01,1492,1,Not sampled in 124.3 years
grid10km,10kmE438N330,1902-06-01,1483,1,Not sampled in 123.6 years
grid10km,10kmE494N503,1902-07-01,1482,1,Not sampled in 123.5 years
grid10km,10kmE499N488,1902-07-01,1482,1,Not sampled in 123.5 years
grid10km,10kmE479N374,1902-07-01,1482,1,Not sampled in 123.5 years
grid10km,10kmE476N371,1902-08-01,1481,1,Not sampled in 123.4 years
grid10km,10kmE478N377,1902-08-01,1481,1,Not sampled in 123.4 years
grid10km,10kmE428N434,1902-09-01,1480,1,Not sampled in 123.3 years
grid10km,10kmE523N405,1902-10-01,1479,1,Not sampled in 123.2 years
grid10km,10kmE499N387,1903-07-01,1470,1,Not sampled in 122.5 years
grid10km,10kmE453N542,1903-07-01,1470,1,Not sampled in 122.5 years
grid10km,10kmE425N450,1903-08-01,1469,1,Not sampled in 122.4 years
grid10km,10kmE480N390,1904-06-01,1459,4,Not sampled in 121.6 years
grid10km,10kmE483N444,1904-06-01,1459,1,Not sampled in 121.6 years
grid10km,10kmE409N478,1904-07-01,1458,1,Not sampled in 121.5 years
grid10km,10kmE463N507,1904-08-01,1457,1,Not sampled in 121.4 years
grid10km,10kmE484N413,1905-05-01,1448,1,Not sampled in 120.7 years
grid10km,10kmE459N512,1905-06-01,1447,1,Not sampled in 120.6 years
grid10km,10kmE433N486,1906-07-01,1434,1,Not sampled in 119.5 years
grid10km,10kmE430N460,1908-08-01,1409,1,Not sampled in 117.4 years
grid10km,10kmE519N387,1909-07-01,1398,1,Not sampled in 116.5 years
grid10km,10kmE520N465,1910-04-01,1389,1,Not sampled in 115.8 years
grid10km,10kmE488N383,1910-07-01,1386,1,Not sampled in 115.5 years
grid10km,10kmE478N380,1910-07-01,1386,1,Not sampled in 115.5 years
grid10km,10kmE483N516,1910-07-01,1386,1,Not sampled in 115.5 years
grid10km,10kmE522N390,1910-08-01,1385,1,Not sampled in 115.4 years
grid10km,10kmE404N467,1910-09-01,1384,1,Not sampled in 115.3 years
grid10km,10kmE478N387,1911-07-01,1374,2,Not sampled in 114.5 years
grid10km,10kmE417N426,1911-07-01,1374,1,Not sampled in 114.5 years
grid10km,10kmE426N399,1911-08-01,1373,1,Not sampled in 114.4 years
grid10km,10kmE429N502,1911-09-01,1372,1,Not sampled in 114.3 years
grid10km,10kmE421N386,1912-06-01,1363,1,Not sampled in 113.6 years
grid10km,10kmE487N515,1912-07-01,1362,1,Not sampled in 113.5 years
grid10km,10kmE426N421,1912-07-01,1362,1,Not sampled in 113.5 years
grid10km,10kmE503N388,1912-08-01,1361,1,Not sampled in 113.4 years
grid10km,10kmE524N391,1912-09-01,1360,1,Not sampled in 113.3 years
grid10km,10kmE412N401,1913-06-01,1351,1,Not sampled in 112.6 years
grid10km,10kmE478N383,1913-06-01,1351,2,Not sampled in 112.6 years
grid10km,10kmE489N395,1913-08-01,1349,1,Not sampled in 112.4 years
grid10km,10kmE433N395,1914-03-01,1342,1,Not sampled in 111.8 years
grid10km,10kmE426N429,1914-05-01,1340,1,Not sampled in 111.7 years
grid10km,10kmE492N499,1914-07-01,1338,2,Not sampled in 111.5 years
grid10km,10kmE522N446,1914-08-01,1337,1,Not sampled in 111.4 years
grid10km,10kmE428N366,1914-08-01,1337,1,Not sampled in 111.4 years
grid10km,10kmE435N448,1915-06-01,1327,1,Not sampled in 110.6 years
grid10km,10kmE441N460,1915-07-01,1326,1,Not sampled in 110.5 years
grid10km,10kmE514N468,1915-08-01,1325,1,Not sampled in 110.4 years
grid10km,10kmE447N506,1916-06-01,1315,1,Not sampled in 109.6 years
grid10km,10kmE519N425,1916-09-01,1312,1,Not sampled in 109.3 years
grid10km,10kmE423N394,1917-06-01,1303,1,Not sampled in 108.6 years
grid10km,10kmE401N453,1917-07-01,1302,1,Not sampled in 108.5 years
grid10km,10kmE448N504,1918-07-01,1290,1,Not sampled in 107.5 years
grid10km,10kmE500N418,1918-08-01,1289,1,Not sampled in 107.4 years
grid10km,10kmE487N406,1918-11-01,1286,1,Not sampled in 107.2 years
grid10km,10kmE474N385,1920-06-01,1267,10,Not sampled in 105.6 years
grid10km,10kmE389N410,1920-07-01,1266,1,Not sampled in 105.5 years
grid10km,10kmE409N391,1920-08-01,1265,1,Not sampled in 105.4 years
grid10km,10kmE425N457,1920-09-01,1264,1,Not sampled in 105.3 years
grid10km,10kmE407N451,1921-05-01,1256,1,Not sampled in 104.7 years
grid10km,10kmE506N388,1921-08-01,1253,1,Not sampled in 104.4 years
grid10km,10kmE393N461,1922-06-01,1243,1,Not sampled in 103.6 years
grid10km,10kmE450N457,1922-07-01,1242,1,Not sampled in 103.5 years
grid10km,10kmE429N449,1923-07-01,1230,1,Not sampled in 102.5 years
grid10km,10kmE537N428,1923-07-01,1230,1,Not sampled in 102.5 years
grid10km,10kmE422N426,1923-07-01,1230,1,Not sampled in 102.5 years
grid10km,10kmE418N400,1924-06-01,1219,1,Not sampled in 101.6 years
grid10km,10kmE425N425,1924-06-01,1219,1,Not sampled in 101.6 years
grid10km,10kmE392N448,1924-06-01,1219,1,Not sampled in 101.6 years
grid10km,10kmE511N495,1924-07-01,1218,1,Not sampled in 101.5 years
grid10km,10kmE481N424,1924-07-01,1218,1,Not sampled in 101.5 years
grid10km,10kmE456N484,1924-07-01,1218,2,Not sampled in 101.5 years
grid10km,10kmE409N384,1924-07-01,1218,1,Not sampled in 101.5 years
grid10km,10kmE462N506,1924-08-01,1217,1,Not sampled in 101.4 years
grid10km,10kmE515N431,1924-08-01,1217,1,Not sampled in 101.4 years
grid10km,10kmE403N394,1925-07-01,1206,1,Not sampled in 100.5 years
grid10km,10kmE518N474,1925-08-01,1205,1,Not sampled in 100.4 years
grid10km,10kmE424N451,1925-08-01,1205,1,Not sampled in 100.4 years
grid10km,10kmE511N396,1925-09-01,1204,1,Not sampled in 100.3 years
grid10km,10kmE516N437,1925-09-01,1204,1,Not sampled in 100.3 years
grid10km,10kmE496N449,1926-05-01,1196,1,Not sampled in 99.7 years
grid10km,10kmE503N487,1926-06-01,1195,1,Not sampled in 99.6 years
grid10km,10kmE513N433,1926-06-01,1195,1,Not sampled in 99.6 years
grid10km,10kmE441N401,1926-07-01,1194,1,Not sampled in 99.5 years
grid10km,10kmE414N471,1926-08-01,1193,1,Not sampled in 99.4 years
grid10km,10kmE415N470,1926-08-01,1193,1,Not sampled in 99.4 years
grid10km,10kmE436N499,1926-08-01,1193,1,Not sampled in 99.4 years
grid10km,10kmE507N400,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE390N422,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE390N448,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE403N417,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE500N401,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE502N389,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE531N444,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE496N386,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE416N420,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE518N471,1926-09-01,1192,1,Not sampled in 99.3 years
grid10km,10kmE434N397,1927-05-01,1184,1,Not sampled in 98.7 years
grid10km,10kmE509N453,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE413N397,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE439N402,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE421N412,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE445N466,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE437N372,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE495N436,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE531N438,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE429N427,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE499N406,1927-06-01,1183,1,Not sampled in 98.6 years
grid10km,10kmE417N450,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE403N447,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE443N470,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE501N459,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE482N434,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE517N441,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE431N469,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE510N473,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE511N428,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE515N392,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE430N448,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE430N383,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE520N425,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE420N405,1927-07-01,1182,1,Not sampled in 98.5 years
grid10km,10kmE389N440,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE413N411,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE423N446,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE486N427,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE435N453,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE416N474,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE518N429,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE497N383,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE504N455,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE406N483,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE420N427,1927-08-01,1181,1,Not sampled in 98.4 years
grid10km,10kmE510N378,1927-09-01,1180,1,Not sampled in 98.3 years
grid10km,10kmE401N471,1927-09-01,1180,1,Not sampled in 98.3 years
grid10km,10kmE422N473,1928-06-01,1171,1,Not sampled in 97.6 years
grid10km,10kmE496N414,1928-07-01,1170,1,Not sampled in 97.5 years
grid10km,10kmE441N455,1928-07-01,1170,1,Not sampled in 97.5 years
grid10km,10kmE534N436,1928-07-01,1170,2,Not sampled in 97.5 years
grid10km,10kmE406N424,1928-07-01,1170,1,Not sampled in 97.5 years
grid10km,10kmE394N444,1928-07-01,1170,1,Not sampled in 97.5 years
grid10km,10kmE509N457,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE391N456,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE397N443,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE511N390,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE491N425,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE489N430,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE406N426,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE475N421,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE401N390,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE405N484,1928-08-01,1169,1,Not sampled in 97.4 years
grid10km,10kmE409N457,1929-03-01,1162,1,Not sampled in 96.8 years
grid10km,10kmE472N363,1929-06-01,1159,1,Not sampled in 96.6 years
grid10km,10kmE414N467,1929-07-01,1158,1,Not sampled in 96.5 years
grid10km,10kmE476N516,1929-07-01,1158,1,Not sampled in 96.5 years
grid10km,10kmE426N432,1929-08-01,1157,1,Not sampled in 96.4 years
grid10km,10kmE455N485,1929-08-01,1157,1,Not sampled in 96.4 years
grid10km,10kmE479N421,1929-08-01,1157,1,Not sampled in 96.4 years
grid10km,10kmE444N488,1929-08-01,1157,1,Not sampled in 96.4 years
grid10km,10kmE415N474,1929-08-01,1157,1,Not sampled in 96.4 years
grid10km,10kmE505N469,1929-09-01,1156,1,Not sampled in 96.3 years
grid10km,10kmE476N372,1930-05-01,1148,1,Not sampled in 95.7 years
grid10km,10kmE390N415,1930-06-01,1147,1,Not sampled in 95.6 years
grid10km,10kmE504N447,1930-06-01,1147,1,Not sampled in 95.6 years
grid10km,10kmE425N433,1930-07-01,1146,1,Not sampled in 95.5 years
grid10km,10kmE483N442,1930-07-01,1146,1,Not sampled in 95.5 years
grid10km,10kmE488N445,1930-07-01,1146,1,Not sampled in 95.5 years
grid10km,10kmE484N434,1930-07-01,1146,1,Not sampled in 95.5 years
grid10km,10kmE512N471,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE493N445,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE415N398,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE421N413,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE481N368,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE512N402,1930-08-01,1145,1,Not sampled in 95.4 years
grid10km,10kmE514N442,1930-09-01,1144,1,Not sampled in 95.3 years
grid10km,10kmE493N393,1930-09-01,1144,1,Not sampled in 95.3 years
grid10km,10kmE398N466,1930-09-01,1144,1,Not sampled in 95.3 years
grid10km,10kmE446N501,1931-05-01,1136,1,Not sampled in 94.7 years
grid10km,10kmE418N420,1931-05-01,1136,1,Not sampled in 94.7 years
grid10km,10kmE426N446,1931-05-01,1136,1,Not sampled in 94.7 years
grid10km,10kmE511N379,1931-06-01,1135,1,Not sampled in 94.6 years
grid10km,10kmE392N409,1931-06-01,1135,1,Not sampled in 94.6 years
grid10km,10kmE466N363,1931-07-01,1134,1,Not sampled in 94.5 years
