grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE417N482,1972-05-01,644,1,Not sampled in 53.7 years
grid10km,10kmE478N375,1972-07-01,642,1,Not sampled in 53.5 years
grid10km,10kmE495N383,1972-07-01,642,1,Not sampled in 53.5 years
grid10km,10kmE479N377,1972-07-01,642,1,Not sampled in 53.5 years
grid10km,10kmE495N499,1972-09-01,640,6,Not sampled in 53.3 years
grid10km,10kmE494N500,1972-09-01,640,6,Not sampled in 53.3 years
grid10km,10kmE495N497,1972-09-01,640,4,Not sampled in 53.3 years
grid10km,10kmE449N471,1973-07-01,630,25,Not sampled in 52.5 years
grid10km,10kmE456N490,1973-07-01,630,13,Not sampled in 52.5 years
grid10km,10kmE452N480,1973-07-01,630,22,Not sampled in 52.5 years
grid10km,10kmE449N473,1973-08-01,629,31,Not sampled in 52.4 years
grid10km,10kmE438N488,1973-08-01,629,1,Not sampled in 52.4 years
grid10km,10kmE409N401,1973-08-01,629,1,Not sampled in 52.4 years
grid10km,10kmE429N489,1973-08-01,629,1,Not sampled in 52.4 years
grid10km,10kmE495N428,1973-08-01,629,1,Not sampled in 52.4 years
grid10km,10kmE421N474,1973-08-01,629,1,Not sampled in 52.4 years
grid10km,10kmE427N429,1974-03-01,622,1,Not sampled in 51.8 years
grid10km,10kmE451N472,1974-04-01,621,28,Not sampled in 51.8 years
grid10km,10kmE487N424,1974-07-01,618,1,Not sampled in 51.5 years
grid10km,10kmE457N491,1975-07-01,606,20,Not sampled in 50.5 years
grid10km,10kmE451N457,1975-08-01,605,6,Not sampled in 50.4 years
grid10km,10kmE434N319,1975-09-01,604,1,Not sampled in 50.3 years
grid10km,10kmE476N513,1976-06-01,595,37,Not sampled in 49.6 years
grid10km,10kmE494N488,1976-07-01,594,56,Not sampled in 49.5 years
grid10km,10kmE470N508,1976-07-01,594,81,Not sampled in 49.5 years
grid10km,10kmE480N510,1976-07-01,594,87,Not sampled in 49.5 years
grid10km,10kmE503N480,1976-07-01,594,2,Not sampled in 49.5 years
grid10km,10kmE501N479,1976-07-01,594,1,Not sampled in 49.5 years
grid10km,10kmE501N478,1976-08-01,593,2,Not sampled in 49.4 years
grid10km,10kmE487N434,1976-08-01,593,1,Not sampled in 49.4 years
grid10km,10kmE505N475,1976-08-01,593,1,Not sampled in 49.4 years
grid10km,10kmE490N392,1977-04-01,585,20,Not sampled in 48.8 years
grid10km,10kmE464N502,1977-07-01,582,40,Not sampled in 48.5 years
grid10km,10kmE457N488,1977-07-01,582,26,Not sampled in 48.5 years
grid10km,10kmE487N459,1977-07-01,582,5,Not sampled in 48.5 years
grid10km,10kmE425N502,1977-07-01,582,1,Not sampled in 48.5 years
grid10km,10kmE488N394,1977-07-01,582,23,Not sampled in 48.5 years
grid10km,10kmE416N413,1977-07-01,582,1,Not sampled in 48.5 years
grid10km,10kmE458N512,1977-07-01,582,1,Not sampled in 48.5 years
grid10km,10kmE472N424,1978-01-01,576,5,Not sampled in 48 years
grid10km,10kmE489N390,1978-07-01,570,22,Not sampled in 47.5 years
grid10km,10kmE443N418,1978-07-01,570,2,Not sampled in 47.5 years
grid10km,10kmE468N509,1978-08-01,569,70,Not sampled in 47.4 years
grid10km,10kmE475N436,1979-06-01,559,1,Not sampled in 46.6 years
grid10km,10kmE479N446,1979-06-01,559,1,Not sampled in 46.6 years
grid10km,10kmE444N417,1979-07-01,558,14,Not sampled in 46.5 years
grid10km,10kmE487N458,1979-10-01,555,3,Not sampled in 46.2 years
grid10km,10kmE487N455,1979-11-01,554,4,Not sampled in 46.2 years
grid10km,10kmE358N440,1980-06-01,547,1,Not sampled in 45.6 years
grid10km,10kmE388N468,1980-06-01,547,1,Not sampled in 45.6 years
grid10km,10kmE442N451,1980-07-01,546,28,Not sampled in 45.5 years
grid10km,10kmE443N323,1980-07-01,546,1,Not sampled in 45.5 years
grid10km,10kmE501N481,1980-08-01,545,1,Not sampled in 45.4 years
