grid,year,basisofrecord,total_occurrences.x,n_months,n_cells_sampled,total_occurrences.y
grid50km,1874,all,5196,12,3,3
grid50km,1874,humanObservation,154,11,0,
grid50km,1874,preservedSpecimen,5042,12,3,3
grid50km,1875,all,6034,12,0,
grid50km,1875,humanObservation,190,12,0,
grid50km,1875,preservedSpecimen,5844,12,1,1
grid50km,1876,all,5540,12,0,
grid50km,1876,humanObservation,180,12,0,
grid50km,1876,materialSample,2,1,0,
grid50km,1876,occurrence,1,1,0,
grid50km,1876,preservedSpecimen,5357,12,0,
grid50km,1877,all,6587,12,0,
grid50km,1877,fossilSpecimen,1,1,0,
grid50km,1877,humanObservation,328,9,0,
grid50km,1877,materialSample,2,1,0,
grid50km,1877,occurrence,1,1,0,
grid50km,1877,preservedSpecimen,6255,12,0,
grid50km,1878,all,5980,12,0,
grid50km,1878,humanObservation,313,11,0,
grid50km,1878,occurrence,2,2,0,
grid50km,1878,preservedSpecimen,5665,12,1,1
grid50km,1879,all,6559,12,0,
grid50km,1879,fossilSpecimen,7,2,1,1
grid50km,1879,humanObservation,314,11,0,
grid50km,1879,materialSample,1,1,0,
grid50km,1879,preservedSpecimen,6237,12,0,
grid50km,1880,all,7453,12,0,
grid50km,1880,fossilSpecimen,45,4,0,
grid50km,1880,humanObservation,241,11,0,
grid50km,1880,occurrence,1,1,0,
grid50km,1880,preservedSpecimen,7166,12,0,
grid50km,1881,all,9124,12,2,2
grid50km,1881,fossilSpecimen,1,1,0,
grid50km,1881,humanObservation,265,12,0,
grid50km,1881,materialSample,2,2,0,
grid50km,1881,occurrence,4,4,0,
grid50km,1881,preservedSpecimen,8852,12,2,2
grid50km,1882,all,11157,12,0,
grid50km,1882,fossilSpecimen,154,5,0,
grid50km,1882,humanObservation,153,11,0,
grid50km,1882,materialSample,1,1,0,
grid50km,1882,occurrence,11,4,0,
grid50km,1882,preservedSpecimen,10838,12,2,2
grid50km,1883,all,10456,12,1,1
grid50km,1883,fossilSpecimen,4,1,0,
grid50km,1883,humanObservation,376,11,0,
grid50km,1883,occurrence,12,5,0,
grid50km,1883,preservedSpecimen,10064,12,2,2
grid50km,1884,all,12604,12,2,2
grid50km,1884,fossilSpecimen,351,4,2,6
grid50km,1884,humanObservation,399,12,0,
grid50km,1884,occurrence,11,4,3,4
grid50km,1884,preservedSpecimen,11843,12,2,2
grid50km,1885,all,13293,12,0,
grid50km,1885,fossilSpecimen,97,3,4,7
grid50km,1885,humanObservation,336,12,0,
grid50km,1885,occurrence,8,4,0,
grid50km,1885,preservedSpecimen,12852,12,0,
grid50km,1886,all,12936,12,1,1
grid50km,1886,fossilSpecimen,189,2,1,2
grid50km,1886,humanObservation,525,12,0,
grid50km,1886,occurrence,5,4,1,2
grid50km,1886,preservedSpecimen,12217,12,1,1
grid50km,1887,all,13661,12,1,1
grid50km,1887,fossilSpecimen,2,2,0,
grid50km,1887,humanObservation,807,12,0,
grid50km,1887,materialCitation,1,1,1,1
grid50km,1887,occurrence,9,6,1,1
grid50km,1887,preservedSpecimen,12842,12,2,2
grid50km,1888,all,12184,12,3,3
grid50km,1888,fossilSpecimen,16,2,0,
grid50km,1888,humanObservation,563,12,0,
grid50km,1888,occurrence,4,3,1,1
grid50km,1888,preservedSpecimen,11601,12,3,3
grid50km,1889,all,13147,12,0,
grid50km,1889,fossilSpecimen,28,5,3,12
grid50km,1889,humanObservation,750,12,0,
grid50km,1889,occurrence,46,8,0,
grid50km,1889,preservedSpecimen,12323,12,0,
grid50km,1890,all,12743,12,7,7
grid50km,1890,fossilSpecimen,22,5,1,1
grid50km,1890,humanObservation,572,12,0,
grid50km,1890,occurrence,17,7,0,
grid50km,1890,preservedSpecimen,12132,12,12,13
grid50km,1891,all,10667,12,20,23
grid50km,1891,fossilSpecimen,93,4,2,146
grid50km,1891,humanObservation,226,11,0,
grid50km,1891,materialSample,2,1,0,
grid50km,1891,occurrence,17,8,0,
grid50km,1891,preservedSpecimen,10329,12,33,39
grid50km,1892,all,12242,12,4,5
grid50km,1892,fossilSpecimen,26,3,3,10
grid50km,1892,humanObservation,198,10,0,
grid50km,1892,materialSample,4,1,0,
grid50km,1892,occurrence,16,7,0,
grid50km,1892,preservedSpecimen,11998,12,10,12
grid50km,1893,all,11348,12,4,4
grid50km,1893,fossilSpecimen,54,4,8,61
grid50km,1893,humanObservation,496,11,0,
grid50km,1893,occurrence,7,5,0,
grid50km,1893,preservedSpecimen,10791,12,5,6
grid50km,1894,all,11126,12,6,8
grid50km,1894,fossilSpecimen,60,4,6,36
grid50km,1894,humanObservation,467,12,0,
grid50km,1894,materialSample,3,1,0,
grid50km,1894,occurrence,9,6,0,
grid50km,1894,preservedSpecimen,10587,12,8,11
grid50km,1895,all,10414,12,7,9
grid50km,1895,fossilSpecimen,20,1,1,2
grid50km,1895,humanObservation,204,12,0,
grid50km,1895,materialSample,1,1,0,
grid50km,1895,occurrence,13,6,1,1
grid50km,1895,preservedSpecimen,10176,12,10,13
grid50km,1896,all,9180,12,1,1
grid50km,1896,fossilSpecimen,52,4,1,1
grid50km,1896,humanObservation,174,11,1,1
grid50km,1896,occurrence,49,9,1,1
grid50km,1896,preservedSpecimen,8905,12,1,1
grid50km,1897,all,10737,12,2,2
grid50km,1897,fossilSpecimen,13,1,0,
grid50km,1897,humanObservation,179,11,0,
grid50km,1897,materialSample,5,2,0,
grid50km,1897,occurrence,49,6,2,2
grid50km,1897,preservedSpecimen,10491,12,4,4
grid50km,1898,all,12310,12,0,
grid50km,1898,fossilSpecimen,9,3,1,1
grid50km,1898,humanObservation,357,12,0,
grid50km,1898,materialSample,1,1,0,
grid50km,1898,occurrence,45,6,1,7
grid50km,1898,preservedSpecimen,11898,12,2,4
grid50km,1899,all,8830,12,0,
grid50km,1899,humanObservation,172,12,0,
grid50km,1899,occurrence,22,7,0,
grid50km,1899,preservedSpecimen,8636,12,2,2
grid50km,1900,all,11681,12,1,2
grid50km,1900,humanObservation,527,12,0,
grid50km,1900,materialSample,1,1,0,
grid50km,1900,occurrence,40,7,2,2
